GameID,Title,DetailedDescription,SupportedLanguages,ReleaseDate,BackgroundImage,PosterImage,Trailer,PurchaseLink,PriceInitial,PriceFinal,EmbeddingVectors,SteamRecommendationCount,PlatformWindows,PlatformLinux,PlatformMac
1,Counter-Strike,Play the worlds number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your teams success. Your teams success affects your role.,English French German Italian Spanish Simplified Chinese Traditional Chinese Korean,Nov 1 2000,http://cdn.akamai.steamstatic.com/steam/apps/10/page_bg_generated_v6b.jpg?t=1447887426,http://cdn.akamai.steamstatic.com/steam/apps/10/header.jpg?t=1447887426,,http://steamcommunity.com/app/10,9.99,9.99,0,68991,1,1,1
2,Team Fortress Classic,One of the most popular online action games of all time Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons items and abilities as teams compete online in a variety of game play modes.,English French German Italian Spanish,Apr 1 1999,http://cdn.akamai.steamstatic.com/steam/apps/20/page_bg_generated_v6b.jpg?t=1447350811,http://cdn.akamai.steamstatic.com/steam/apps/20/header.jpg?t=1447350811,, ,4.99,4.99,0,2439,1,1,1
3,Day of Defeat,Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry sniper or machine-gunner class each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations. And as war rages players must work together with their squad to accomplish a variety of mission-specific objectives.,English French German Italian Spanish,May 1 2003,http://cdn.akamai.steamstatic.com/steam/apps/30/page_bg_generated_v6b.jpg?t=1447350812,http://cdn.akamai.steamstatic.com/steam/apps/30/header.jpg?t=1447350812,, ,4.99,4.99,0,2319,1,1,1
4,Deathmatch Classic,Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valves tribute to the work of id software DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.,English French German Italian Spanish,Jun 1 2001,http://cdn.akamai.steamstatic.com/steam/apps/40/page_bg_generated_v6b.jpg?t=1447350812,http://cdn.akamai.steamstatic.com/steam/apps/40/header.jpg?t=1447350812,, ,4.99,4.99,0,888,1,1,1
5,Half-Life: Opposing Force,Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents and experiment with new weaponry. Named Game of the Year by the Academy of Interactive Arts and Sciences.,English French German Korean,Nov 1 1999,http://cdn.akamai.steamstatic.com/steam/apps/50/page_bg_generated_v6b.jpg?t=1447350813,http://cdn.akamai.steamstatic.com/steam/apps/50/header.jpg?t=1447350813,, ,4.99,4.99,0,2934,1,1,1
6,Ricochet,A futuristic action game that challenges your agility as well as your aim Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.,English French German Italian Spanish,Nov 1 2000,http://cdn.akamai.steamstatic.com/steam/apps/60/page_bg_generated_v6b.jpg?t=1453942008,http://cdn.akamai.steamstatic.com/steam/apps/60/header.jpg?t=1453942008,, ,4.99,4.99,0,1965,1,1,1
7,Half-Life,Named Game of the Year by over 50 publications Valves debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.,English French German Italian Spanish Simplified Chinese Traditional Chinese Korean,Nov 8 1998,http://cdn.akamai.steamstatic.com/steam/apps/70/page_bg_generated_v6b.jpg?t=1447890508,http://cdn.akamai.steamstatic.com/steam/apps/70/header.jpg?t=1447890508,,http://steamcommunity.com/app/70,9.99,9.99,0,12486,1,1,1
8,Counter-Strike: Condition Zero,With its extensive Tour of Duty campaign a near-limitless number of skirmish modes updates and new content for Counter-Strikes award-winning multiplayer game play plus over 12 bonus single player missions Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.,English French German Italian Spanish Simplified Chinese Traditional Chinese Korean,Mar 1 2004,http://cdn.akamai.steamstatic.com/steam/apps/80/page_bg_generated_v6b.jpg?t=1447889920,http://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg?t=1447889920,,http://steamcommunity.com/app/80,9.99,9.99,0,7067,1,1,1
9,Counter-Strike: Condition Zero,With its extensive Tour of Duty campaign a near-limitless number of skirmish modes updates and new content for Counter-Strikes award-winning multiplayer game play plus over 12 bonus single player missions Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.,English French German Italian Spanish Simplified Chinese Traditional Chinese Korean,Mar 1 2004,http://cdn.akamai.steamstatic.com/steam/apps/80/page_bg_generated_v6b.jpg?t=1447889920,http://cdn.akamai.steamstatic.com/steam/apps/80/header.jpg?t=1447889920,,http://steamcommunity.com/app/80,9.99,9.99,0,7067,1,1,1
10,Half-Life: Blue Shift,Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun the security guard sidekick who helped Gordon out of so many sticky situations.,English French German,Jun 1 2001,http://cdn.akamai.steamstatic.com/steam/apps/130/page_bg_generated_v6b.jpg?t=1447350816,http://cdn.akamai.steamstatic.com/steam/apps/130/header.jpg?t=1447350816,, ,4.99,4.99,0,2219,1,1,1
